"region","date","death1","phe_admissions","phe_occupied_mv_beds","phe_patients"
"east_of_england","2020-03-16",0,NA,NA,NA
"east_of_england","2020-03-17",0,NA,NA,NA
"east_of_england","2020-03-18",0,NA,NA,NA
"east_of_england","2020-03-19",0,23,NA,NA
"east_of_england","2020-03-20",0,23,NA,59
"east_of_england","2020-03-21",0,37,NA,74
"east_of_england","2020-03-22",0,49,NA,95
"east_of_england","2020-03-23",0,46,NA,133
"east_of_england","2020-03-24",0,106,NA,154
"east_of_england","2020-03-25",0,76,NA,196
"east_of_england","2020-03-26",0,160,NA,295
"east_of_england","2020-03-27",0,94,NA,341
"east_of_england","2020-03-28",0,124,NA,429
"east_of_england","2020-03-29",0,201,NA,482
"east_of_england","2020-03-30",0,148,NA,628
"east_of_england","2020-03-31",0,146,NA,793
"east_of_england","2020-04-01",0,167,NA,833
"east_of_england","2020-04-02",0,184,119,841
"east_of_england","2020-04-03",0,192,162,914
"east_of_england","2020-04-04",0,163,171,988
"east_of_england","2020-04-05",0,220,219,1230
"east_of_england","2020-04-06",0,231,204,1220
"east_of_england","2020-04-07",0,164,255,1431
"east_of_england","2020-04-08",0,219,276,1435
"east_of_england","2020-04-09",0,192,265,1411
"east_of_england","2020-04-10",0,215,280,1500
"east_of_england","2020-04-11",0,165,283,1497
"east_of_england","2020-04-12",0,144,291,1679
"east_of_england","2020-04-13",0,214,264,1471
"east_of_england","2020-04-14",0,187,303,1592
"east_of_england","2020-04-15",0,113,308,1621
"east_of_england","2020-04-16",0,133,308,1577
"east_of_england","2020-04-17",0,154,320,1534
"east_of_england","2020-04-18",0,191,312,1529
"east_of_england","2020-04-19",0,148,306,1579
"east_of_england","2020-04-20",0,126,294,1587
"east_of_england","2020-04-21",0,148,279,1544
"east_of_england","2020-04-22",0,120,276,1511
"east_of_england","2020-04-23",0,128,267,1472
"east_of_england","2020-04-24",0,141,263,1404
"east_of_england","2020-04-25",0,128,260,1384
"east_of_england","2020-04-26",0,148,253,1422
"east_of_england","2020-04-27",0,127,231,1413
"east_of_england","2020-04-28",0,184,223,1389
"east_of_england","2020-04-29",0,157,210,1319
"east_of_england","2020-04-30",0,198,202,1253
"east_of_england","2020-05-01",0,127,193,1211
"east_of_england","2020-05-02",0,111,183,1190
"east_of_england","2020-05-03",0,166,179,1223
"east_of_england","2020-05-04",0,106,176,1138
"east_of_england","2020-05-05",0,90,176,1160
"east_of_england","2020-05-06",0,128,171,1106
"east_of_england","2020-05-07",0,116,152,1084
"east_of_england","2020-05-08",0,70,142,1022
"east_of_england","2020-05-09",0,101,144,1032
"east_of_england","2020-05-10",0,71,142,1076
"east_of_england","2020-05-11",0,88,137,1069
"east_of_england","2020-05-12",0,116,134,1049
"east_of_england","2020-05-13",0,72,129,1014
"east_of_england","2020-05-14",0,88,125,979
"east_of_england","2020-05-15",0,92,127,952
"east_of_england","2020-05-16",0,72,125,916
"east_of_england","2020-05-17",0,85,125,934
"east_of_england","2020-05-18",0,81,121,924
"east_of_england","2020-05-19",0,86,122,913
"east_of_england","2020-05-20",0,93,113,888
"east_of_england","2020-05-21",0,77,109,866
"east_of_england","2020-05-22",0,79,104,831
"east_of_england","2020-05-23",0,39,98,816
"east_of_england","2020-05-24",0,52,88,795
"east_of_england","2020-05-25",0,51,92,798
"east_of_england","2020-05-26",0,85,86,755
"east_of_england","2020-05-27",0,57,85,737
"east_of_england","2020-05-28",0,53,78,701
"east_of_england","2020-05-29",0,54,68,603
"east_of_england","2020-05-30",0,43,65,622
"east_of_england","2020-05-31",0,29,63,597
