"area_name","reporting_date","deaths"
"United Kingdom",2022-02-25,120
"United Kingdom",2022-02-24,125
"United Kingdom",2022-02-23,164
"United Kingdom",2022-02-22,205
"United Kingdom",2022-02-21,15
"United Kingdom",2022-02-20,74
"United Kingdom",2022-02-19,142
"United Kingdom",2022-02-18,158
"United Kingdom",2022-02-17,183
"United Kingdom",2022-02-16,199
"United Kingdom",2022-02-15,234
"United Kingdom",2022-02-14,35
"United Kingdom",2022-02-13,52
"United Kingdom",2022-02-12,167
"United Kingdom",2022-02-11,193
"United Kingdom",2022-02-10,206
"United Kingdom",2022-02-09,276
"United Kingdom",2022-02-08,314
"United Kingdom",2022-02-07,45
"United Kingdom",2022-02-06,75
"United Kingdom",2022-02-05,259
"United Kingdom",2022-02-04,254
"United Kingdom",2022-02-03,303
"United Kingdom",2022-02-02,552
"United Kingdom",2022-02-01,219
"United Kingdom",2022-01-31,51
"United Kingdom",2022-01-30,91
"United Kingdom",2022-01-29,296
"United Kingdom",2022-01-28,277
"United Kingdom",2022-01-27,338
"United Kingdom",2022-01-26,346
"United Kingdom",2022-01-25,439
"United Kingdom",2022-01-24,56
"United Kingdom",2022-01-23,75
"United Kingdom",2022-01-22,297
"United Kingdom",2022-01-21,288
"United Kingdom",2022-01-20,330
"United Kingdom",2022-01-19,359
"United Kingdom",2022-01-18,438
"United Kingdom",2022-01-17,85
"United Kingdom",2022-01-16,91
"United Kingdom",2022-01-15,287
"United Kingdom",2022-01-14,270
"United Kingdom",2022-01-13,335
"United Kingdom",2022-01-12,398
"United Kingdom",2022-01-11,379
"United Kingdom",2022-01-10,77
"United Kingdom",2022-01-09,97
"United Kingdom",2022-01-08,313
"United Kingdom",2022-01-07,229
"United Kingdom",2022-01-06,231
"United Kingdom",2022-01-05,334
"United Kingdom",2022-01-04,49
"United Kingdom",2022-01-03,42
"United Kingdom",2022-01-02,73
"United Kingdom",2022-01-01,162
"United Kingdom",2021-12-31,203
"United Kingdom",2021-12-30,332
"United Kingdom",2021-12-29,57
"United Kingdom",2021-12-28,19
"United Kingdom",2021-12-27,143
"United Kingdom",2021-12-26,3
"United Kingdom",2021-12-25,10
"United Kingdom",2021-12-24,137
"United Kingdom",2021-12-23,147
"United Kingdom",2021-12-22,140
"United Kingdom",2021-12-21,172
"United Kingdom",2021-12-20,44
"United Kingdom",2021-12-19,45
"United Kingdom",2021-12-18,125
"United Kingdom",2021-12-17,111
"United Kingdom",2021-12-16,146
"United Kingdom",2021-12-15,165
"United Kingdom",2021-12-14,150
"United Kingdom",2021-12-13,38
"United Kingdom",2021-12-12,52
"United Kingdom",2021-12-11,132
"United Kingdom",2021-12-10,120
"United Kingdom",2021-12-09,148
"United Kingdom",2021-12-08,161
"United Kingdom",2021-12-07,180
"United Kingdom",2021-12-06,41
"United Kingdom",2021-12-05,54
"United Kingdom",2021-12-04,127
"United Kingdom",2021-12-03,143
"United Kingdom",2021-12-02,141
"United Kingdom",2021-12-01,171
"United Kingdom",2021-11-30,159
"United Kingdom",2021-11-29,35
"United Kingdom",2021-11-28,51
"United Kingdom",2021-11-27,131
"United Kingdom",2021-11-26,160
"United Kingdom",2021-11-25,147
"United Kingdom",2021-11-24,149
"United Kingdom",2021-11-23,165
"United Kingdom",2021-11-22,45
"United Kingdom",2021-11-21,61
"United Kingdom",2021-11-20,150
"United Kingdom",2021-11-19,157
"United Kingdom",2021-11-18,199
"United Kingdom",2021-11-17,201
"United Kingdom",2021-11-16,214
"United Kingdom",2021-11-15,47
"United Kingdom",2021-11-14,63
"United Kingdom",2021-11-13,157
"United Kingdom",2021-11-12,145
"United Kingdom",2021-11-11,195
"United Kingdom",2021-11-10,214
"United Kingdom",2021-11-09,262
"United Kingdom",2021-11-08,57
"United Kingdom",2021-11-07,62
"United Kingdom",2021-11-06,155
"United Kingdom",2021-11-05,193
"United Kingdom",2021-11-04,214
"United Kingdom",2021-11-03,217
"United Kingdom",2021-11-02,293
"United Kingdom",2021-11-01,40
"United Kingdom",2021-10-31,74
"United Kingdom",2021-10-30,166
"United Kingdom",2021-10-29,186
"United Kingdom",2021-10-28,165
"United Kingdom",2021-10-27,207
"United Kingdom",2021-10-26,263
"United Kingdom",2021-10-25,38
"United Kingdom",2021-10-24,72
"United Kingdom",2021-10-23,135
"United Kingdom",2021-10-22,180
"United Kingdom",2021-10-21,115
"United Kingdom",2021-10-20,179
"United Kingdom",2021-10-19,223
"United Kingdom",2021-10-18,45
"United Kingdom",2021-10-17,57
"United Kingdom",2021-10-16,148
"United Kingdom",2021-10-15,145
"United Kingdom",2021-10-14,157
"United Kingdom",2021-10-13,136
"United Kingdom",2021-10-12,181
"United Kingdom",2021-10-11,28
"United Kingdom",2021-10-10,38
"United Kingdom",2021-10-09,133
"United Kingdom",2021-10-08,150
"United Kingdom",2021-10-07,122
"United Kingdom",2021-10-06,143
"United Kingdom",2021-10-05,166
"United Kingdom",2021-10-04,33
"United Kingdom",2021-10-03,43
"United Kingdom",2021-10-02,121
"United Kingdom",2021-10-01,127
"United Kingdom",2021-09-30,137
"United Kingdom",2021-09-29,150
"United Kingdom",2021-09-28,167
"United Kingdom",2021-09-27,40
"United Kingdom",2021-09-26,58
"United Kingdom",2021-09-25,127
"United Kingdom",2021-09-24,180
"United Kingdom",2021-09-23,182
"United Kingdom",2021-09-22,166
"United Kingdom",2021-09-21,203
"United Kingdom",2021-09-20,49
"United Kingdom",2021-09-19,56
"United Kingdom",2021-09-18,164
"United Kingdom",2021-09-17,178
"United Kingdom",2021-09-16,158
"United Kingdom",2021-09-15,201
"United Kingdom",2021-09-14,185
"United Kingdom",2021-09-13,61
"United Kingdom",2021-09-12,56
"United Kingdom",2021-09-11,156
"United Kingdom",2021-09-10,147
"United Kingdom",2021-09-09,167
"United Kingdom",2021-09-08,191
"United Kingdom",2021-09-07,209
"United Kingdom",2021-09-06,45
"United Kingdom",2021-09-05,68
"United Kingdom",2021-09-04,120
"United Kingdom",2021-09-03,121
"United Kingdom",2021-09-02,178
"United Kingdom",2021-09-01,207
"United Kingdom",2021-08-31,50
"United Kingdom",2021-08-30,48
"United Kingdom",2021-08-29,61
"United Kingdom",2021-08-28,133
"United Kingdom",2021-08-27,100
"United Kingdom",2021-08-26,140
"United Kingdom",2021-08-25,149
"United Kingdom",2021-08-24,174
"United Kingdom",2021-08-23,40
"United Kingdom",2021-08-22,49
"United Kingdom",2021-08-21,104
"United Kingdom",2021-08-20,114
"United Kingdom",2021-08-19,113
"United Kingdom",2021-08-18,111
