"area_name","reporting_date","deaths"
"United Kingdom",2022-02-24,16
"United Kingdom",2022-02-23,42
"United Kingdom",2022-02-22,75
"United Kingdom",2022-02-21,77
"United Kingdom",2022-02-20,116
"United Kingdom",2022-02-19,104
"United Kingdom",2022-02-18,102
"United Kingdom",2022-02-17,121
"United Kingdom",2022-02-16,130
"United Kingdom",2022-02-15,145
"United Kingdom",2022-02-14,149
"United Kingdom",2022-02-13,138
"United Kingdom",2022-02-12,141
"United Kingdom",2022-02-11,132
"United Kingdom",2022-02-10,159
"United Kingdom",2022-02-09,152
"United Kingdom",2022-02-08,162
"United Kingdom",2022-02-07,163
"United Kingdom",2022-02-06,180
"United Kingdom",2022-02-05,197
"United Kingdom",2022-02-04,178
"United Kingdom",2022-02-03,216
"United Kingdom",2022-02-02,224
"United Kingdom",2022-02-01,253
"United Kingdom",2022-01-31,240
"United Kingdom",2022-01-30,239
"United Kingdom",2022-01-29,258
"United Kingdom",2022-01-28,254
"United Kingdom",2022-01-27,298
"United Kingdom",2022-01-26,260
"United Kingdom",2022-01-25,242
"United Kingdom",2022-01-24,281
"United Kingdom",2022-01-23,252
"United Kingdom",2022-01-22,279
"United Kingdom",2022-01-21,306
"United Kingdom",2022-01-20,253
"United Kingdom",2022-01-19,279
"United Kingdom",2022-01-18,282
"United Kingdom",2022-01-17,293
"United Kingdom",2022-01-16,291
"United Kingdom",2022-01-15,292
"United Kingdom",2022-01-14,272
"United Kingdom",2022-01-13,284
"United Kingdom",2022-01-12,254
"United Kingdom",2022-01-11,266
"United Kingdom",2022-01-10,279
"United Kingdom",2022-01-09,267
"United Kingdom",2022-01-08,239
"United Kingdom",2022-01-07,249
"United Kingdom",2022-01-06,255
"United Kingdom",2022-01-05,212
"United Kingdom",2022-01-04,219
"United Kingdom",2022-01-03,178
"United Kingdom",2022-01-02,178
"United Kingdom",2022-01-01,180
"United Kingdom",2021-12-31,168
"United Kingdom",2021-12-30,190
"United Kingdom",2021-12-29,124
"United Kingdom",2021-12-28,169
"United Kingdom",2021-12-27,140
"United Kingdom",2021-12-26,117
"United Kingdom",2021-12-25,104
"United Kingdom",2021-12-24,127
"United Kingdom",2021-12-23,131
"United Kingdom",2021-12-22,126
"United Kingdom",2021-12-21,100
"United Kingdom",2021-12-20,124
"United Kingdom",2021-12-19,101
"United Kingdom",2021-12-18,108
"United Kingdom",2021-12-17,128
"United Kingdom",2021-12-16,106
