"area_code","area_name","area_type","date","covid_occupied_mv_beds","hospital_cases","new_admissions","dataset"
"E40000007","East of England","nhsRegion",2020-03-01,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-02,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-03,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-04,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-05,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-06,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-07,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-08,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-09,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-10,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-11,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-12,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-13,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-14,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-15,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-16,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-17,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-18,NA,NA,NA,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-19,NA,NA,23,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-20,NA,59,23,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-21,NA,74,37,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-22,NA,95,49,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-23,NA,133,46,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-24,NA,154,106,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-25,NA,196,76,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-26,NA,295,160,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-27,NA,341,94,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-28,NA,429,124,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-29,NA,482,201,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-30,NA,628,148,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-03-31,NA,793,146,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-01,NA,833,167,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-02,119,841,184,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-03,162,914,192,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-04,171,988,163,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-05,219,1230,220,"PHE_dashboard"
