org_code	trust_name	ods_stp_code	nhs_region	postcode
AND01	BADDOW HOSPITAL	QH8	East of England	CM2 8HN 
AVQ03	ONE HATFIELD HOSPITAL	QM7	East of England	AL10 9UA 
AWR01	ONE STOP DOCTORS LTD (ONE MEDICAL HOUSE)	QM7	East of England	HP2 7YU 
NAX	EAST COAST COMMUNITY HEALTHCARE C.I.C	QUE	East of England	NR32 1DE 
NQ1	ANGLIAN COMMUNITY ENTERPRISE COMMUNITY INTEREST COMPANY (ACE CIC)	QMM	East of England	CO4 9YQ 
NQA	PROVIDE	QH8	East of England	CO4 9YQ 
NT204	NUFFIELD HEALTH, BRENTWOOD HOSPITAL	QH8	East of England	CM15 8EH
NT209	NUFFIELD HEALTH, CAMBRIDGE HOSPITAL	QUE	East of England	CB2 8AF
NT222	NUFFIELD HEALTH, IPSWITCH HOSPITAL	QH8	East of England	IP4 5SW
NT313	SPIRE WELLESLEY HOSPITAL	QH8	East of England	SS2 4XH
NT315	SPIRE BUSHEY HOSPITAL	QM7	East of England	WD23 1RD
NT316	SPIRE HARPENDEN HOSPITAL	QHG	East of England	AL5 4BP
NT317	SPIRE CAMBRIDGE LEA HOSPITAL	QUE	East of England	CB24 9EL
NT318	SPIRE NORWICH HOSPITAL	QMM	East of England	NR4 7TD
NT319	SPIRE HARTSWOOD HOSPITAL	QH8	East of England	CM13 3LE
NT423	BMI - THE MANOR HOSPITAL	QHG	East of England	MK40 4AW
NT432	BMI - THE SANDRINGHAM HOSPITAL	QMM	East of England	PE30 4HJ
NT434	BMI - THE SAXON CLINIC	QHG	East of England	MK6 5LR
NT446	BMI ST EDMUNDS HOSPITAL	QUE	East of England	IP33 2AA
NT490	BMI SOUTHEND PRIVATE HOSPITAL	QH8	East of England	SS0 9AG
NVC06	FITZWILLIAM HOSPITAL	QUE	East of England	PE3 9AQ
NVC13	OAKS HOSPITAL	QH8	East of England	CO4 5XR
NVC15	PINEHILL HOSPITAL	QM7	East of England	SG4 9QZ
NVC18	SPRINGFIELD HOSPITAL	QH8	East of England	CM1 7GU
NVC19	RIVERS HOSPITAL	QH8	East of England	CM21 0HH
NVC31	BLAKELANDS HOSPITAL	QHG	East of England	MK14 5HR
NYW01	ASPEN - THE HOLLY	QH8	East of England	IG9 5HX
8A718	The London Clinic	QMJ	London	W1G 6BW
8HE28	HARLEY STREET ON 15	QMJ	London	NW1 2BU
ACP01	FORTIUS CLINIC	QMJ	London	W1H 6EQ
AHR01	King Edward VII's Hospital Sister Agnes	QMJ	London	W1G 6AA
AX001	THE NEW VICTORIA HOSPITAL	QWE	London	KT2 7EG
DLY01	SCHOEN CLINIC LONDON (WIGMORE STREET)	QMJ	London	W1U 2SA
DM801	WEYMOUTH STREET HOSPITAL	QMJ	London	W1G 6NP
DYF02	ONE WELBECK HEART HEALTH - WELBECK STREET	QMJ	London	W1G 0AR
NMM01	HOSPITAL OF ST JOHN AND ST ELIZABETH (GROVE END ROAD)	QMJ	London	NW8 9NH
NNV	YOUR HEALTHCARE	QWE	London	KT5 9AL
NQV	BROMLEY HEALTHCARE	QKK	London	BR2 9JG
NT314	SPIRE RODING HOSPITAL	QMF	London	IG4 5PZ
NT3X3	SPIRE ST ANTHONY'S HOSPITAL	QWE	London	SM3 9DW
NT405	BMI - BISHOPS WOOD	QRV	London	HA6 2JW
NT406	BMI - THE BLACKHEATH HOSPITAL	QKK	London	SE3 9UD
NT409	BMI - CHELSFIELD PARK HOSPITAL	QKK	London	BR6 7RG
NT411	BMI - THE CLEMENTINE CHURCHILL HOSPITAL	QRV	London	HA1 3RX
NT416	BMI - HENDON HOSPITAL	QMJ	London	NW4 1RP
NT421	BMI - THE KINGS OAK HOSPITAL	QMJ	London	EN2 8SD
NT422	BMI - THE LONDON INDEPENDENT HOSPITAL	QMF	London	E1 4NL
NT436	BMI - SHIRLEY OAKS HOSPITAL	QWE	London	CR9 8AB
NT437	BMI - THE SLOANE HOSPITAL	QKK	London	BR3 5HS
NT451	BMI THE CAVELL HOSPITAL	QMJ	London	EN2 7PR
NTP15	NORTH EAST LONDON TREATMENT CENTRE CARE UK	QMF	London	IG3 8YY
NV7R1	BUPA Cromwell Hospital	QMJ	London	SW5 0TU
NVC0M	WEST VALLEY HOSPITAL	QWE	London	CR0 2RD
NW601	The Princess Grace Hospital	QMJ	London	W1U 5NY
NW602	The Wellington Hospital	QRV	London	NW8 9LE
NW603	Lister Hospital	QWE	London	SW1W 8RH
NW604	The Portland Hospital for Women and Children	QMJ	London	W1W 5AH
NW605	London Bridge Hospital	QKK	London	SE1 2PR
NW608	THE HARLEY STREET CLINIC (WEYMOUTH ST)	QMJ	London	W1G 8BJ
NW614	LEADERS ON ONCOLOGY (LOC)	QMJ	London	W1G 6AF
NYW02	ASPEN - PARKSIDE HOSPITAL	QWE	London	SW19 5NX
NYW03	ASPEN - HIGHGATE HOSPITAL	QMJ	London	N6 4DJ
